Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2020-030,(3) Design with Entitlements Approved,955 Post,955,Post,St,94109,0302,021,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2022-11-18T00:00:00.000,2025-01-11T00:00:00.000,955 Post LLC,,,2015-015950PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-015950PRJ'},,2020-11-19T00:00:00.000,On-site BMR Project,69,17,52,25.00,0,0,6,9,2,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,4,0,0,0,0,37.786850000000,-122.417660000000,"{'latitude': '37.78685', 'longitude': '-122.41766', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-008,(2) Predevelopment Feasibility,966 Oak St (Purple House),966,Oak,St,94117,0825,010,5,Hayes Valley,Western Addition,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2019-06-14T00:00:00.000,2021-04-01T00:00:00.000,,,2021-04-01T00:00:00.000,2021-10-01T00:00:00.000,San Francisco Community Land Trust,,San Francisco Community Land Trust,2016-006545PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-006545PRJ'},2016-006545CUA,,,10,10,0,100,10,0,0,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37.773699862000,-122.435222929999,"{'latitude': '37.773699862', 'longitude': '-122.435222929999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-026,(3) Design with Entitlements Approved,55 Belcher St,55,Belcher,St,94114,3537,100,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2021-11-19T00:00:00.000,2024-01-13T00:00:00.000,"Reuben, Junius & Rose, LLP",,"55 Belcher Street, LLC",2016-003994PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-003994PRJ'},,2019-11-21T00:00:00.000,On-site BMR Project,25,5,20,20.0,0,0,3,2,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,37.768510000000,-122.429840000000,"{'latitude': '37.76851', 'longitude': '-122.42984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-002,(4) Site Work Permit Issued,229 Ellis,229,Ellis,St,94102,0331,001A,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2020-03-20T00:00:00.000,2022-05-14T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2016-007593PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-007593PRJ'},,2018-03-22T00:00:00.000,Fee Payment,55,0,55,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.785012731000,-122.409947659999,"{'latitude': '37.785012731', 'longitude': '-122.409947659999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-017,(4) Site Work Permit Issued,807 Franklin St,807,Franklin,St,94102,0744,002,5,Western Addition,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-12-31T00:00:00.000,,2019-07-01T00:00:00.000,2021-08-24T00:00:00.000,801 Franklin LLC,,,2017-007542PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2017-007542PRJ'},"2013.1224CUA,2013.1224E,2013.1224SHD,2013.1224TDM,2013.1224U",2018-08-30T00:00:00.000,Fee Payment,48,0,48,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.782120128000,-122.422710861999,"{'latitude': '37.782120128', 'longitude': '-122.422710861999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-020,(4) Site Work Permit Issued,655 Folsom,655,Folsom,St,94107,3750,050,6,Financial District/South Beach,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2019-08-12T00:00:00.000,,2020-02-10T00:00:00.000,2022-04-05T00:00:00.000,Forton Fund LLC,,,2013.0253,{'url': 'http://propertymap.sfplanning.org/?search=2013.0253'},"2013.0253ENV,2013.0253ENX,2013.0253PPA,2013.0253U",2016-03-10T00:00:00.000,Fee Payment,89,0,89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.784374148000,-122.397774163999,"{'latitude': '37.784374148', 'longitude': '-122.397774163999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-116,(5) First Construction Document Issued,333 12th,333,12th,St,94103,3521,022,6,Mission,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-02-21T00:00:00.000,2018-05-30T00:00:00.000,2018-05-30T00:00:00.000,2020-10-21T00:00:00.000,Panoramic Interests,,,2015-004109PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-004109PRJ'},"2015-004109CND,2015-004109CUA-02,2015-004109ENV,2015-004109ENX,2015-004109MCM,2015-004109PPA,2015-004109SUB",2016-12-08T00:00:00.000,On-site BMR Project,148,27,121,18.00,0,0,0,27,0,0,0,0,0,,27,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,0,0,0,0,37.770783515000,-122.413936606999,"{'latitude': '37.770783515', 'longitude': '-122.413936606999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-047,(1) Preliminary Phase,772 Pacific Ave,772,Pacific,Ave,94133,0161,015,3,Chinatown,Chinatown,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Developer not yet selected,,,Not Yet Available,,,,,50,49,1,98.00,0,0,0,0,0,0,0,0,1,,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,37.797008618000,-122.408016262999,"{'latitude': '37.797008618', 'longitude': '-122.408016262999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-033,(5) First Construction Document Issued,793 South Van Ness,793,South Van Ness,Ave,94110,3591,024,9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-12-05T00:00:00.000,2020-01-30T00:00:00.000,2020-01-30T00:00:00.000,2022-03-25T00:00:00.000,Farella Braun + Martell LLP,,,2015-001360PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-001360PRJ'},"2015-001360CUA,2015-001360ENV,2015-001360PPA,2015-001360TDM",2017-12-14T00:00:00.000,On-site BMR Project,75,11,64,15.00,0,0,7,4,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,37.760672840000,-122.416701194999,"{'latitude': '37.76067284', 'longitude': '-122.416701194999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2014-017,(5) First Construction Document Issued,119 7th,119,7th,St,94103,3726,103,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2015-05-11T00:00:00.000,2015-10-02T00:00:00.000,2015-10-02T00:00:00.000,2020-11-17T00:00:00.000,"American Pacific International, Inc.",,,2012.0673,{'url': 'http://propertymap.sfplanning.org/?search=2012.0673'},"2012.0673E,2012.0673U,2012.0673X",2014-06-19T00:00:00.000,Fee Payment,39,0,39,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.779072869000,-122.410312379999,"{'latitude': '37.779072869', 'longitude': '-122.410312379999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2011-015,(6) Complete,1296 Shotwell (Casa Adelante),1296,Shotwell,St,94110,6571,051,9,Mission,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2018-04-30T00:00:00.000,2017-05-31T00:00:00.000,2018-05-15T00:00:00.000,2018-05-15T00:00:00.000,2020-03-12T00:00:00.000,Mission Economic Development Agency,Chinatown Community Development Center,"1296 Shotwell Housing, LP",2015-018056PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-018056PRJ'},"2015-018056AHB,2015-018056ENV,2015-018056PPA",2017-02-14T00:00:00.000,,94,93,1,99.00,0,24,69,0,0,0,0,0,1,2bd,0,93,0,22,0,10,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,37.748587522000,-122.415203444999,"{'latitude': '37.748587522', 'longitude': '-122.415203444999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-063,(6) Complete,540 De Haro,540,De Haro,St,94107,4008,002,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2017-12-27T00:00:00.000,2018-05-31T00:00:00.000,2018-05-31T00:00:00.000,2020-06-15T00:00:00.000,,,,2014.0599,{'url': 'http://propertymap.sfplanning.org/?search=2014.0599'},"2014.0599E,2014.0599ENX,2014.0599U",2016-06-02T00:00:00.000,Fee Payment,16,0,16,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.762907074000,-122.401732115999,"{'latitude': '37.762907074', 'longitude': '-122.401732115999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-021,(6) Complete,1382 30th Ave,1382,30th,Ave,94122,1782,020,4,Sunset/Parkside,Outer Sunset,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2020-06-04T00:00:00.000,2020-08-06T00:00:00.000,,,2020-08-06T00:00:00.000,2020-10-26T00:00:00.000,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,4,4,0,100,0,0,4,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,37.761530000000,-122.488580000000,"{'latitude': '37.76153', 'longitude': '-122.48858', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2014-019,(6) Complete,1500 Mission (Goodwill),1500,Mission,St,94103,3506,"008, 009",6,Mission,South of Market,MOHCD,Bond Financed Inclusionary Housing,0,New Construction,Rental,,,2017-10-03T00:00:00.000,2018-03-21T00:00:00.000,2018-03-21T00:00:00.000,2020-03-09T00:00:00.000,Related California,,,2014-000362PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-000362PRJ'},"2014-000362DNX,2014-000362ENV,2014-000362GPA,2014-000362MAP,2014-000362PCA,2014-000362SHD,2014-000362SUB,2014.1208PPA,2014.1208U",2017-03-23T00:00:00.000,On-site BMR Project,548,110,438,20.0,0,40,29,39,2,0,0,0,0,,110,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,37.774186409000,-122.418126654999,"{'latitude': '37.774186409', 'longitude': '-122.418126654999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-026,(1) Preliminary Phase,"HPSY, Block 1 (Ownership)",0,Address not yet assigned,,94124,4591C,002,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,2021-07-01T00:00:00.000,,,2021-07-01T00:00:00.000,2022-12-23T00:00:00.000,1899-12-31T00:00:00.000,,,Not Applicable,,,,,50,6,44,12.00,0,0,0,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37.729497063000,-122.370224646999,"{'latitude': '37.729497063', 'longitude': '-122.370224646999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1997-005A,(3) Design with Entitlements Approved,388 Beale St ADUs,388,Beale,St,94105,3747,094,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2021-09-03T00:00:00.000,2023-10-28T00:00:00.000,UDR Towers by the Bay LLC,,,2018-016944PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-016944PRJ'},ADUs,2019-09-05T00:00:00.000,On-site BMR Project,13,2,11,15.00,0,0,1,1,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37.787592000000,-122.391498000000,"{'latitude': '37.787592', 'longitude': '-122.391498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-014,(1) Preliminary Phase,Laguna Honda Hospital Continuum of Care,375,Laguna Honda,Blvd,94131,2842,007,7,Twin Peaks,Twin Peaks,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2023-01-02T00:00:00.000,,,2023-01-02T00:00:00.000,2024-09-01T00:00:00.000,Mercy Housing California,,"Mercy Housing California 103, L.P.",Not Yet Available,,,,,200,198,2,99.00,0,0,0,0,0,0,0,0,2,2bd,0,198,0,40,0,40,0,0,40,0,158,0,0,0,0,0,0,0,0,0,0,0,37.748917000000,-122.457000000000,"{'latitude': '37.748917', 'longitude': '-122.457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-034,(3) Design with Entitlements Approved,650 Divisadero,650,Divisadero,St,94117,1202,002B,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,2023-07-01T00:00:00.000,,,2020-11-27T00:00:00.000,2023-01-21T00:00:00.000,"Divco Group, LLC",,,2013.1037,{'url': 'http://propertymap.sfplanning.org/?search=2013.1037'},,2018-11-29T00:00:00.000,On-site BMR Project,66,9,57,14.00,0,2,2,3,2,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,37.775741818000,-122.437587842999,"{'latitude': '37.775741818', 'longitude': '-122.437587842999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-006,(3) Design with Entitlements Approved,542-550 Howard St (Transbay Parcel F),542-550,Howard,St,94105,3721,016,6,Financial District/South Beach,Financial District,OCII,Inclusionary Housing Program,Transbay,New Construction,Ownership,,,,,2022-01-07T00:00:00.000,2024-03-02T00:00:00.000,Farella Braun + Martell,,"Parcel F Owners, LLC",2016-013312PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-013312PRJ'},,2020-01-09T00:00:00.000,Off-site BMR Project,165,54,111,33.00,0,0,7,30,17,0,0,0,0,,54,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,12,0,0,12,0,0,37.787520000000,-122.397370000000,"{'latitude': '37.78752', 'longitude': '-122.39737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-073,(4) Site Work Permit Issued,1740 Market,1740,Market,St,94102,0855,010,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-12-05T00:00:00.000,,2019-06-05T00:00:00.000,2021-07-29T00:00:00.000,Warner Schmalz,,,2014.0409,{'url': 'http://propertymap.sfplanning.org/?search=2014.0409'},"2014.0409CUA,2014.0409ENV,2014.0409PPA,2014.0409U,2014.0409VAR",2016-07-28T00:00:00.000,On-site BMR Project,100,12,88,12.00,0,1,5,4,2,0,0,0,0,,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,37.772544177000,-122.423102027999,"{'latitude': '37.772544177', 'longitude': '-122.423102027999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1981-002a,(5) First Construction Document Issued,South Park Scattered Sites - Hotel Madrid,22,South Park,St,94107,3775,048,6,Financial District/South Beach,South of Market,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2020-05-18T00:00:00.000,,,2020-05-18T00:00:00.000,2021-08-01T00:00:00.000,Mission Housing Development Corporation,,Mission Housing Development Corporation,2019-023173PRL,{'url': 'http://propertymap.sfplanning.org/?search=2019-023173PRL'},,,,44,44,0,100,42,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,40,0,4,0,0,0,0,0,0,0,0,0,0,0,37.782300000000,-122.393640000000,"{'latitude': '37.7823', 'longitude': '-122.39364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-018,(2) Predevelopment Feasibility,Balboa Reservoir Building E,,Address not yet assigned,,94112,0,0,7,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2023-03-01T00:00:00.000,,,2023-03-01T00:00:00.000,2025-03-01T00:00:00.000,BRIDGE Housing Corporation,,TBD,Not Yet Available,,,,,124,123,1,99.00,0,8,59,45,11,0,0,5,1,2bd,123,0,0,0,0,0,0,0,0,26,0,0,0,61,0,0,36,0,0,0,0,0,0E-12,0E-12,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-061,(5) First Construction Document Issued,1178 Folsom,1178,Folsom,St,94103,3730,"023, 024",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2016-07-18T00:00:00.000,2017-12-21T00:00:00.000,2017-12-21T00:00:00.000,2020-02-14T00:00:00.000,Transworld Construction,,,2012.1553,{'url': 'http://propertymap.sfplanning.org/?search=2012.1553'},"2012.1553C, 2012.1553E, 2012.1553IKA, 2012.1553U, 2012.1553V",2015-03-26T00:00:00.000,Fee Payment,42,0,42,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.775689920000,-122.409773879999,"{'latitude': '37.77568992', 'longitude': '-122.409773879999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-052c,(2) Predevelopment Feasibility,SFHA Scattered Sites - Randolph,200,Randolph,St,94132,7089,49,11,Oceanview/Merced/Ingleside,Oceanview,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2021-10-01T00:00:00.000,,,2021-10-01T00:00:00.000,2023-01-15T00:00:00.000,Mission Housing Development Corporation,,San Francisco Housing Authority until transfer to MHDC affiliated L.P.,2020-009544PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2020-009544PRJ'},,,,16,15,1,94.00,0,0,0,7,2,6,0,0,1,2bd,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,37.714330000000,-122.464700000000,"{'latitude': '37.71433', 'longitude': '-122.4647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-037,(5) First Construction Document Issued,"941 Mission - ""M-2 Site"" (434 Minna St)",941,Mission,St,94103,3725,"089, 090, 091",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2019-08-02T00:00:00.000,2020-06-02T00:00:00.000,2020-06-02T00:00:00.000,2022-07-27T00:00:00.000,Forest City,,,2018-011363PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-011363PRJ'},,2018-12-20T00:00:00.000,On-site BMR Project,288,57,231,20.0,0,0,0,0,0,0,0,0,0,,57,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,37.781730867000,-122.406309112999,"{'latitude': '37.781730867', 'longitude': '-122.406309112999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-043,(4) Site Work Permit Issued,198 Valencia,198,Valencia,St,94103,3502,108,8,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-11-29T00:00:00.000,,2019-05-30T00:00:00.000,2021-07-23T00:00:00.000,,,,2013.1458,{'url': 'http://propertymap.sfplanning.org/?search=2013.1458'},"2013.1458DRP,2013.1458DRP-02,2013.1458E,2013.1458MCM,2013.1458SHD,2013.1458U,2013.1458VAR",2017-05-03T00:00:00.000,On-site BMR Project,28,3,25,11.00,0,0,2,1,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.770096284000,-122.422686285999,"{'latitude': '37.770096284', 'longitude': '-122.422686285999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-050,(2) Predevelopment Feasibility,1049 Market St,1049,Market,St,94103,3703,067,6,South of Market,South of Market,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2018-10-10T00:00:00.000,2021-12-01T00:00:00.000,,,2021-12-01T00:00:00.000,2022-02-01T00:00:00.000,Tenderloin Housing Clinic,,Tenderloin Housing Clinic,2016-008515PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-008515PRJ'},,,,15,15,0,100,15,0,0,0,0,0,0,0,0,,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,37.781110000000,-122.411030000000,"{'latitude': '37.78111', 'longitude': '-122.41103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-040,(4) Site Work Permit Issued,Shirley Chisholm Village (Francis Scott Key Annex),1360,43rd,Ave,94122,1797,007,4,Sunset/Parkside,Outer Sunset,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2021-09-15T00:00:00.000,2021-01-11T00:00:00.000,,2021-09-15T00:00:00.000,2023-06-15T00:00:00.000,Mid-Peninsula Housing,,"MP Francis Scott Key 1, LLC",2018-015768PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-015768PRJ'},,,,135,134,1,99.00,0,24,43,58,9,0,0,0,1,2bd,134,0,0,0,0,0,0,0,0,18,15,0,15,43,19,0,0,0,24,0,0,0,37.761385507000,-122.502232253999,"{'latitude': '37.761385507', 'longitude': '-122.502232253999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-017,(6) Complete,490 South Van Ness,490,South Van Ness,Ave,94103,3553,008,9,Mission,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2018-08-01T00:00:00.000,2015-06-01T00:00:00.000,2018-09-21T00:00:00.000,2018-09-21T00:00:00.000,2021-02-01T00:00:00.000,BRIDGE Housing Corporation,Mission Housing Development Corporation,"490 SVN Housing Associates, LP",2015-010406PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-010406PRJ'},2015-010406ENV,2017-09-17T00:00:00.000,,81,80,1,99.00,0,2,44,30,4,0,0,8,1,2bd,80,0,0,0,0,0,20,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,37.765479937000,-122.417823852999,"{'latitude': '37.765479937', 'longitude': '-122.417823852999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-014,(2) Predevelopment Feasibility,Yosemite,480,Eddy,St,94109,0334,014,6,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,,2021-02-15T00:00:00.000,,,2021-02-15T00:00:00.000,2022-04-15T00:00:00.000,Tenderloin Neighborhood Development Corporation,,Tenderloin Neighborhood Development Corporation,2016-006801PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-006801PRJ'},2016-006801ENV,,,32,31,1,97.00,0,30,1,0,0,0,0,0,1,Studio,31,0,0,0,0,0,0,0,8,0,23,0,0,0,0,0,0,0,0,0,0,0,37.783824121000,-122.415504098999,"{'latitude': '37.783824121', 'longitude': '-122.415504098999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-025,(5) First Construction Document Issued,1394 Harrison St,1394,Harrison,St,94103,3519,017,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-07-20T00:00:00.000,2020-01-27T00:00:00.000,2020-01-27T00:00:00.000,2022-03-22T00:00:00.000,Realtex Group,,,2014.1213,{'url': 'http://propertymap.sfplanning.org/?search=2014.1213'},"2014.1213DRP,2014.1213DRP-02,2014.1213U",2018-05-30T00:00:00.000,Fee Payment,67,0,67,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.771906408000,-122.411298303999,"{'latitude': '37.771906408', 'longitude': '-122.411298303999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-014,(3) Design with Entitlements Approved,280 7th St,280,7th,St,94103,3730,290,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2020-07-24T00:00:00.000,2022-09-17T00:00:00.000,"Dragonfly Assets C-54, LLC",,,2016-004946PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-004946PRJ'},"2016-004946ENV,2016-004946ENX,2016-004946PPA,2016-004946SHD,2016-004946TDM",2018-07-26T00:00:00.000,On-site BMR Project,20,2,18,10.0,0,0,1,1,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37.776827066000,-122.408473141999,"{'latitude': '37.776827066', 'longitude': '-122.408473141999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2013-053,(5) First Construction Document Issued,735 Davis Senior (88 Broadway Senior),735,Davis,St,94111,0140,008,3,Financial District/South Beach,North Beach,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2019-06-17T00:00:00.000,2018-12-11T00:00:00.000,2019-06-07T00:00:00.000,2019-06-07T00:00:00.000,2020-12-29T00:00:00.000,BRIDGE Housing Corporation,John Stewart Company,735 Davis Senior LP,2016-007850PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-007850PRJ'},"2016-007850COA,2016-007850CUA,2016-007850ENV,2016-007850GPR,2016-007850PPA,2016-007850PRV,2016-007850SHD",2018-05-03T00:00:00.000,,53,52,1,98.00,0,24,28,0,0,0,0,6,1,2bd,0,52,0,15,0,15,0,0,13,0,25,0,6,8,0,0,0,0,0,0,0,0,37.799211902000,-122.399125154999,"{'latitude': '37.799211902', 'longitude': '-122.399125154999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-007,(3) Design with Entitlements Approved,1567 California St,1567,California,St,94109,0645,"14, 14A, 15",3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2022-02-11T00:00:00.000,2024-04-06T00:00:00.000,Southern Land Global LLC,,Southern Land Global LLC,2018-011249PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-011249PRJ'},,2020-02-13T00:00:00.000,"On-site BMR Project, Fee Payment",100,9,91,9.00,0,2,3,3,1,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0,37.790400000000,-122.420060000000,"{'latitude': '37.7904', 'longitude': '-122.42006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
